# START = date polling began
# END = date polling ended
# POLLSTER = polling organization
# N = sample size
# CON = Conservative percentage
# LAB = Labour percentage
# LD = Liberal Democrat percentage
# UKIP = UKIP percentage
# GREEN = Green percentage
# OTHER = percentage of other parties
START	END	POLLSTER	N	CON	LAB	LD	UKIP	GREEN	OTHER
"2015-04-23"	"2015-04-27"	"TNS"	1186	34	33	7	15	5	5
"2015-04-25"	"2015-04-26"	"YouGov"	2096	33	34	8	14	5	6
"2015-04-24"	"2015-04-26"	"Lord Ashcroft"	1003	36	30	9	11	7	7
"2015-04-24"	"2015-04-26"	"ICM"	1004	35	32	9	13	5	6
"2015-04-24"	"2015-04-26"	"Populus"	2072	33	36	8	14	5	4
"2015-04-24"	"2015-04-25"	"YouGov"	2271	32	34	9	14	6	5
"2015-04-24"	"2015-04-25"	"Survation"	1004	33	30	9	18	4	6
"2015-04-23"	"2015-04-24"	"YouGov"	1594	33	35	8	13	6	5
"2015-04-21"	"2015-04-24"	"Opinium"	1964	34	33	9	13	6	5
"2015-04-22"	"2015-04-23"	"Populus"	2051	32	35	8	14	5	6
"2015-04-22"	"2015-04-23"	"YouGov"	1834	33	35	8	13	6	6
"2015-04-22"	"2015-04-23"	"Survation"	1205	33	29	10	18	4	6
"2015-04-21"	"2015-04-23"	"Panelbase"	1012	31	34	7	17	4	7
"2015-04-21"	"2015-04-22"	"ComRes"	1003	36	32	8	10	5	9
"2015-04-21"	"2015-04-22"	"YouGov"	2060	33	34	7	14	5	6
"2015-04-20"	"2015-04-21"	"YouGov"	1799	35	34	7	13	5	6
"2015-04-19"	"2015-04-20"	"YouGov"	2078	34	35	7	13	5	6
"2015-04-16"	"2015-04-20"	"TNS"	1199	32	34	8	15	5	6
"2015-04-18"	"2015-04-19"	"YouGov"	1675	34	35	8	13	5	6
"2015-04-17"	"2015-04-19"	"Lord Ashcroft"	1002	34	30	10	13	4	9
"2015-04-17"	"2015-04-19"	"Populus"	2048	32	34	9	15	4	6
"2015-04-17"	"2015-04-19"	"ICM"	1003	34	32	10	11	5	8
"2015-04-17"	"2015-04-18"	"YouGov"	1780	33	36	8	13	5	5
"2015-04-16"	"2015-04-17"	"Opinium"	1955	36	32	8	13	5	6
"2015-04-16"	"2015-04-17"	"YouGov"	1713	34	34	9	14	5	5
"2015-04-16"	"2015-04-17"	"Survation"	1314	34	33	7	17	3	6
"2015-04-15"	"2015-04-16"	"Populus"	2048	33	34	9	14	4	5
"2015-04-15"	"2015-04-16"	"YouGov"	1939	34	34	7	14	5	6
"2015-04-14"	"2015-04-16"	"Panelbase"	1025	33	34	8	16	4	5
"2015-04-14"	"2015-04-15"	"YouGov"	1894	34	35	8	13	5	6
"2015-04-12"	"2015-04-15"	"Ipsos-MORI"	1000	33	35	7	10	8	7
"2015-04-13"	"2015-04-14"	"YouGov"	1842	33	35	8	13	5	6
"2015-04-12"	"2015-04-13"	"YouGov"	2444	33	34	8	13	6	5
"2015-04-09"	"2015-04-13"	"TNS"	1192	34	32	9	14	5	6
"2015-04-11"	"2015-04-12"	"YouGov"	1717	33	36	7	13	5	6
"2015-04-10"	"2015-04-12"	"Lord Ashcroft"	1003	33	33	9	13	6	8
"2015-04-10"	"2015-04-12"	"ICM"	1042	39	33	8	7	7	5
"2015-04-10"	"2015-04-12"	"Populus"	2036	33	33	8	15	5	6
"2015-04-10"	"2015-04-11"	"YouGov"	1887	34	34	7	13	6	6
"2015-04-09"	"2015-04-10"	"YouGov"	1782	33	35	8	13	5	5
"2015-04-08"	"2015-04-09"	"Opinium"	1916	36	34	7	11	6	6
"2015-04-08"	"2015-04-09"	"Populus"	2020	31	33	8	16	6	7
"2015-04-08"	"2015-04-09"	"YouGov"	1938	35	34	8	12	4	6
"2015-04-08"	"2015-04-09"	"Survation"	1111	31	35	9	15	4	6
"2015-04-07"	"2015-04-09"	"Panelbase"	1013	31	37	8	16	4	4
"2015-04-07"	"2015-04-08"	"ComRes"	1013	34	33	12	12	4	6
"2015-04-07"	"2015-04-08"	"YouGov"	1871	34	35	8	13	5	5
"2015-04-06"	"2015-04-07"	"YouGov"	1672	33	35	8	14	5	5
"2015-04-02"	"2015-04-07"	"TNS"	1207	30	33	8	19	4	7
"2015-04-02"	"2015-04-06"	"Populus"	2008	31	33	10	15	4	7
"2015-04-03"	"2015-04-04"	"YouGov"	1906	34	33	10	13	4	6
"2015-04-02"	"2015-04-03"	"Opinium"	1974	33	33	7	14	7	5
"2015-04-02"	"2015-04-03"	"Survation"	1207	31	33	9	18	3	6
"2015-04-01"	"2015-04-02"	"YouGov"	1583	37	35	7	12	5	4
"2015-03-31"	"2015-04-02"	"Panelbase"	1006	33	33	7	17	5	5
"2015-03-31"	"2015-04-01"	"Populus"	2057	32	34	9	15	5	5
"2015-03-31"	"2015-04-01"	"YouGov"	1678	36	34	8	13	4	5
"2015-03-30"	"2015-03-31"	"YouGov"	1566	35	36	7	12	5	5
"2015-03-29"	"2015-03-30"	"YouGov"	2001	35	35	8	12	5	5
"2015-03-26"	"2015-03-30"	"TNS"	1197	33	32	8	16	5	7
"2015-03-28"	"2015-03-29"	"ComRes"	1005	36	32	9	12	5	7
"2015-03-27"	"2015-03-29"	"Populus"	2004	34	34	8	15	4	5
"2015-03-27"	"2015-03-29"	"Lord Ashcroft"	1004	36	34	6	10	7	6
"2015-03-27"	"2015-03-28"	"YouGov"	1799	32	36	8	13	6	5
"2015-03-25"	"2015-03-26"	"Populus"	2049	31	33	9	16	5	6
"2015-03-25"	"2015-03-26"	"YouGov"	1698	36	34	7	13	5	5
"2015-03-24"	"2015-03-26"	"Panelbase"	1007	34	34	5	15	6	6
"2015-03-24"	"2015-03-25"	"YouGov"	1610	34	35	8	12	6	5
"2015-03-24"	"2015-03-25"	"Survation"	1007	32	33	8	18	4	5
"2015-03-23"	"2015-03-24"	"YouGov"	2006	35	35	8	12	6	4
"2015-03-22"	"2015-03-23"	"YouGov"	1641	34	34	8	12	6	5
"2015-03-20"	"2015-03-22"	"Lord Ashcroft"	1003	33	33	8	12	5	9
"2015-03-20"	"2015-03-22"	"Populus"	2035	31	33	9	16	5	5
"2015-03-20"	"2015-03-21"	"Survation"	1008	30	34	10	17	3	6
"2015-03-19"	"2015-03-20"	"YouGov"	1532	33	35	8	14	5	5
"2015-03-18"	"2015-03-19"	"Opinium"	1979	36	33	7	14	6	4
"2015-03-18"	"2015-03-19"	"Populus"	2020	31	34	9	17	5	4
"2015-03-18"	"2015-03-19"	"YouGov"	2293	35	33	8	13	6	5
"2015-03-17"	"2015-03-18"	"YouGov"	1752	33	34	8	14	6	5
"2015-03-16"	"2015-03-17"	"YouGov"	1830	34	36	7	12	6	5
"2015-03-15"	"2015-03-16"	"YouGov"	1683	33	35	7	13	7	4
"2015-03-13"	"2015-03-16"	"TNS"	1188	33	32	7	17	4	7
"2015-03-13"	"2015-03-15"	"Lord Ashcroft"	1002	31	29	8	15	8	9
"2015-03-13"	"2015-03-15"	"ICM"	1001	36	35	8	9	4	8
"2015-03-13"	"2015-03-15"	"Populus"	2041	34	34	8	15	5	5
"2015-03-12"	"2015-03-13"	"YouGov"	1669	34	34	7	14	5	6
"2015-03-11"	"2015-03-13"	"ComRes"	2002	33	35	7	16	4	5
"2015-03-11"	"2015-03-12"	"Populus"	2041	29	32	8	18	6	7
"2015-03-11"	"2015-03-12"	"YouGov"	1619	33	32	7	16	6	6
"2015-03-10"	"2015-03-12"	"Opinium"	1947	33	35	7	14	7	5
"2015-03-10"	"2015-03-11"	"YouGov"	1728	34	35	7	14	5	5
"2015-03-08"	"2015-03-11"	"Ipsos-MORI"	1025	33	34	8	13	6	6
"2015-03-09"	"2015-03-10"	"YouGov"	1598	33	31	8	15	6	6
"2015-03-08"	"2015-03-09"	"YouGov"	1745	35	31	8	14	6	6
"2015-03-06"	"2015-03-08"	"Lord Ashcroft"	1003	34	30	5	15	8	7
"2015-03-06"	"2015-03-08"	"Populus"	2026	32	33	9	15	6	6
"2015-03-05"	"2015-03-06"	"YouGov"	1754	34	33	8	15	5	5
"2015-03-03"	"2015-03-06"	"Opinium"	1961	34	34	8	14	7	5
"2015-03-04"	"2015-03-05"	"Populus"	2063	31	33	8	16	5	5
"2015-03-04"	"2015-03-05"	"YouGov"	1748	31	35	6	15	8	4
"2015-03-03"	"2015-03-04"	"YouGov"	1544	34	34	8	14	6	4
"2015-03-02"	"2015-03-03"	"YouGov"	1701	36	34	5	14	6	5
"2015-03-01"	"2015-03-02"	"YouGov"	1866	35	32	7	15	6	5
"2015-02-27"	"2015-03-01"	"Lord Ashcroft"	1003	34	31	7	14	7	8
"2015-02-27"	"2015-03-01"	"Populus"	2056	32	34	8	14	5	7
"2015-02-26"	"2015-02-27"	"YouGov"	1959	34	34	8	14	5	5
"2015-02-25"	"2015-02-27"	"Populus"	2005	31	33	9	16	6	5
"2015-02-25"	"2015-02-26"	"YouGov"	1638	33	34	8	13	6	6
"2015-02-24"	"2015-02-26"	"Opinium"	1948	34	35	6	14	6	6
"2015-02-24"	"2015-02-25"	"YouGov"	1581	33	33	8	15	6	5
"2015-02-23"	"2015-02-24"	"YouGov"	1520	35	33	6	14	7	5
"2015-02-23"	"2015-02-23"	"Survation"	1046	28	34	10	19	4	5
"2015-02-22"	"2015-02-23"	"YouGov"	1772	33	33	8	13	7	5
"2015-02-20"	"2015-02-23"	"ComRes"	1004	34	32	8	13	8	6
"2015-02-20"	"2015-02-22"	"Lord Ashcroft"	1004	32	36	7	11	8	6
"2015-02-20"	"2015-02-22"	"Populus"	2059	32	32	9	15	6	6
"2015-02-19"	"2015-02-20"	"YouGov"	1568	33	34	8	13	6	6
"2015-02-17"	"2015-02-20"	"Opinium"	1975	35	33	6	15	7	5
"2015-02-18"	"2015-02-19"	"Populus"	2011	31	32	9	17	6	5
"2015-02-18"	"2015-02-19"	"YouGov"	1564	32	33	9	15	6	5
"2015-02-17"	"2015-02-18"	"YouGov"	1743	32	34	8	14	6	5
"2015-02-16"	"2015-02-17"	"YouGov"	1548	33	34	6	15	7	5
"2015-02-15"	"2015-02-16"	"YouGov"	1580	32	32	6	16	8	5
"2015-02-13"	"2015-02-15"	"Lord Ashcroft"	1004	30	31	9	16	8	6
"2015-02-13"	"2015-02-15"	"Populus"	2012	31	33	10	15	5	5
"2015-02-13"	"2015-02-15"	"ICM"	1000	36	32	10	9	7	7
"2015-02-12"	"2015-02-13"	"YouGov"	1620	32	35	7	15	7	5
"2015-02-11"	"2015-02-12"	"ComRes"	2017	32	34	7	16	4	7
"2015-02-11"	"2015-02-12"	"Populus"	2055	31	34	9	14	6	6
"2015-02-11"	"2015-02-12"	"YouGov"	1592	31	34	7	15	7	6
"2015-02-10"	"2015-02-12"	"Opinium"	1969	33	35	8	14	6	6
"2015-02-10"	"2015-02-11"	"YouGov"	1764	32	33	7	15	7	5
"2015-02-09"	"2015-02-10"	"YouGov"	1677	33	35	6	13	8	5
"2015-02-08"	"2015-02-09"	"YouGov"	1552	34	33	7	14	7	6
"2015-02-06"	"2015-02-08"	"Lord Ashcroft"	1003	34	31	9	14	6	6
"2015-02-06"	"2015-02-08"	"Populus"	2003	33	34	8	15	4	4
"2015-02-05"	"2015-02-06"	"YouGov"	1668	32	33	7	15	8	5
"2015-02-03"	"2015-02-06"	"Opinium"	1947	32	34	7	15	8	4
"2015-02-04"	"2015-02-05"	"Populus"	2056	31	34	8	16	5	6
"2015-02-04"	"2015-02-05"	"YouGov"	1719	32	33	9	15	5	5
"2015-02-03"	"2015-02-04"	"YouGov"	1749	34	33	6	13	7	7
"2015-02-02"	"2015-02-03"	"YouGov"	1705	33	33	7	14	7	5
"2015-02-01"	"2015-02-02"	"YouGov"	1630	33	35	7	14	6	5
"2015-01-30"	"2015-02-02"	"Populus"	2040	31	34	8	14	5	6
"2015-01-30"	"2015-02-01"	"Lord Ashcroft"	1002	31	31	8	15	9	6
"2015-01-29"	"2015-01-30"	"YouGov"	1550	32	35	7	15	6	5
"2015-01-27"	"2015-01-30"	"Opinium"	1975	32	33	5	18	6	6
"2015-01-28"	"2015-01-29"	"Populus"	2020	34	35	10	14	4	3
"2015-01-28"	"2015-01-29"	"YouGov"	1593	34	34	6	14	7	5
"2015-01-27"	"2015-01-28"	"YouGov"	1548	33	33	6	15	7	6
"2015-01-26"	"2015-01-27"	"YouGov"	1655	34	33	7	14	7	5
"2015-01-25"	"2015-01-26"	"YouGov"	1656	34	33	6	15	7	5
"2015-01-25"	"2015-01-25"	"Survation"	1014	31	30	7	23	3	6
"2015-01-23"	"2015-01-25"	"ComRes"	1001	31	30	8	17	7	7
"2015-01-23"	"2015-01-25"	"Populus"	2039	34	35	9	13	6	3
"2015-01-22"	"2015-01-25"	"Lord Ashcroft"	1001	32	32	6	15	9	6
"2015-01-22"	"2015-01-23"	"YouGov"	1578	32	32	7	15	7	6
"2015-01-21"	"2015-01-22"	"Populus"	2049	32	36	9	13	6	4
"2015-01-21"	"2015-01-22"	"YouGov"	1640	31	33	7	17	8	4
"2015-01-20"	"2015-01-21"	"YouGov"	1645	33	34	6	14	8	5
"2015-01-19"	"2015-01-20"	"YouGov"	1570	32	30	8	15	10	5
"2015-01-18"	"2015-01-19"	"YouGov"	1747	32	32	8	15	7	6
"2015-01-16"	"2015-01-19"	"ICM"	1002	30	33	11	11	9	7
"2015-01-15"	"2015-01-19"	"TNS"	1188	31	31	8	16	7	7
"2015-01-16"	"2015-01-18"	"Lord Ashcroft"	1004	29	28	9	15	11	8
"2015-01-16"	"2015-01-18"	"Populus"	2036	35	36	8	13	4	4
"2015-01-15"	"2015-01-16"	"YouGov"	1647	31	32	7	18	7	4
"2015-01-14"	"2015-01-15"	"YouGov"	1763	31	33	7	16	7	6
"2015-01-14"	"2015-01-15"	"ComRes"	2023	33	34	7	18	3	5
"2015-01-14"	"2015-01-15"	"Populus"	2070	32	35	9	14	6	4
"2015-01-14"	"2015-01-15"	"YouGov"	1660	32	32	6	16	8	6
"2015-01-13"	"2015-01-15"	"Opinium"	1966	28	33	7	20	6	6
"2015-01-13"	"2015-01-14"	"YouGov"	1834	32	34	6	15	7	6
"2015-01-12"	"2015-01-13"	"YouGov"	1782	32	33	7	14	7	6
"2015-01-11"	"2015-01-13"	"Ipsos-MORI"	1010	33	34	8	11	8	6
"2015-01-11"	"2015-01-12"	"YouGov"	1649	32	33	6	17	6	6
"2015-01-09"	"2015-01-11"	"Lord Ashcroft"	1002	34	28	8	16	8	6
"2015-01-09"	"2015-01-11"	"Populus"	2056	32	37	10	13	4	4
"2015-01-08"	"2015-01-09"	"YouGov"	1684	32	32	7	18	6	5
"2015-01-07"	"2015-01-08"	"Populus"	2046	33	34	8	14	6	5
"2015-01-07"	"2015-01-08"	"YouGov"	1753	33	33	8	13	7	6
"2015-01-06"	"2015-01-08"	"TNS"	1201	28	35	6	18	5	8
"2015-01-06"	"2015-01-07"	"YouGov"	1707	32	33	7	15	7	6
"2015-01-05"	"2015-01-06"	"YouGov"	1769	33	33	7	13	8	5
"2015-01-04"	"2015-01-05"	"YouGov"	1728	31	34	7	14	8	6
"2015-01-02"	"2015-01-04"	"Populus"	2046	34	36	9	12	5	5
"2014-12-30"	"2015-01-02"	"Opinium"	1970	32	33	8	17	4	7
"2014-12-19"	"2014-12-23"	"Opinium"	2003	29	33	6	19	6	7
"2014-12-21"	"2014-12-22"	"YouGov"	1642	32	36	6	16	5	5
"2014-12-19"	"2014-12-21"	"Populus"	2051	35	35	9	12	4	5
"2014-12-18"	"2014-12-19"	"Survation"	1009	30	33	10	21	3	3
"2014-12-18"	"2014-12-19"	"YouGov"	2109	32	34	6	15	8	5
"2014-12-16"	"2014-12-19"	"Opinium"	1427	29	36	6	16	5	8
"2014-12-17"	"2014-12-18"	"Populus"	2069	34	35	9	13	4	4
"2014-12-17"	"2014-12-18"	"YouGov"	1981	30	35	6	16	8	4
"2014-12-16"	"2014-12-17"	"YouGov"	2087	33	33	8	14	7	5
"2014-12-12"	"2014-12-16"	"YouGov"	2021	33	34	6	16	6	5
"2014-12-12"	"2014-12-16"	"ICM"	1001	28	33	14	14	5	6
"2014-12-14"	"2014-12-15"	"YouGov"	1648	32	34	6	14	8	6
"2014-12-13"	"2014-12-15"	"Ipsos-MORI"	1012	32	29	9	13	9	8
"2014-12-11"	"2014-12-15"	"TNS"	1180	28	35	5	19	7	6
"2014-12-12"	"2014-12-14"	"ComRes"	1002	29	32	12	16	5	6
"2014-12-12"	"2014-12-14"	"Populus"	2074	34	36	10	12	5	4
"2014-12-11"	"2014-12-12"	"YouGov"	1941	32	32	7	16	7	5
"2014-12-10"	"2014-12-12"	"ComRes"	2014	33	34	8	18	2	5
"2014-12-10"	"2014-12-11"	"Populus"	1140	34	35	9	14	4	3
"2014-12-10"	"2014-12-11"	"YouGov"	2088	32	34	7	14	7	6
"2014-12-09"	"2014-12-10"	"YouGov"	1983	33	33	6	15	7	5
"2014-12-08"	"2014-12-09"	"YouGov"	1959	32	32	8	15	7	5
"2014-12-07"	"2014-12-08"	"YouGov"	1925	34	33	6	15	6	6
"2014-12-05"	"2014-12-07"	"Lord Ashcroft"	1001	30	31	8	19	5	7
"2014-12-05"	"2014-12-07"	"Populus"	1323	33	36	8	15	4	4
"2014-12-04"	"2014-12-05"	"YouGov"	1838	32	32	6	17	7	7
"2014-12-03"	"2014-12-04"	"Opinium"	1940	29	34	6	19	6	6
"2014-12-03"	"2014-12-04"	"Populus"	1271	33	35	9	14	4	5
"2014-12-03"	"2014-12-04"	"YouGov"	1663	31	32	7	15	8	6
"2014-12-02"	"2014-12-03"	"YouGov"	1925	32	31	6	17	7	6
"2014-12-01"	"2014-12-02"	"YouGov"	1912	32	33	7	16	7	5
"2014-11-30"	"2014-12-01"	"YouGov"	1763	32	32	8	15	6	6
